iter	Passed	Remaining
419	2456	3392
420	2460	3384
421	2465	3376
422	2469	3368
423	2474	3361
424	2480	3355
425	2484	3348
426	2489	3340
427	2494	3333
428	2498	3325
429	2504	3319
430	2509	3312
431	2513	3304
432	2518	3297
433	2521	3288
434	2527	3282
435	2532	3275
436	2536	3268
437	2541	3261
438	2546	3254
439	2552	3248
440	2557	3241
441	2561	3233
442	2566	3226
443	2571	3220
444	2576	3213
445	2582	3207
446	2588	3202
447	2594	3197
448	2599	3190
449	2604	3182
450	2608	3175
451	2613	3168
452	2617	3161
453	2623	3155
454	2627	3147
455	2632	3140
456	2636	3133
457	2641	3126
458	2647	3120
459	2651	3113
460	2657	3106
461	2662	3100
462	2669	3096
463	2672	3087
464	2678	3081
465	2682	3074
466	2688	3068
467	2695	3063
468	2699	3056
469	2705	3050
470	2710	3044
471	2718	3040
472	2723	3033
473	2728	3027
474	2735	3023
475	2744	3021
476	2751	3016
477	2758	3012
478	2765	3007
479	2770	3001
480	2775	2994
481	2780	2988
482	2788	2984
483	2793	2978
484	2798	2971
485	2802	2964
486	2807	2957
487	2812	2950
488	2817	2943
489	2821	2936
490	2826	2929
491	2830	2922
492	2836	2916
493	2840	2909
494	2845	2902
495	2849	2895
496	2855	2890
497	2860	2883
498	2865	2876
499	2870	2870
500	2879	2867
501	2883	2860
502	2888	2853
503	2892	2846
504	2897	2840
505	2903	2834
506	2907	2827
507	2912	2820
508	2916	2813
509	2921	2806
510	2927	2801
511	2931	2794
512	2936	2787
513	2940	2780
514	2945	2773
515	2951	2768
516	2956	2761
517	2960	2755
518	2965	2748
519	2969	2741
520	2975	2736
521	2980	2729
522	2985	2722
523	2989	2715
524	2994	2709
525	3000	2703
526	3007	2699
527	3014	2694
528	3019	2688
529	3024	2682
530	3029	2675
531	3033	2668
532	3038	2662
533	3043	2655
534	3048	2649
535	3052	2642
536	3057	2636
537	3061	2629
538	3067	2623
539	3072	2617
540	3076	2610
541	3081	2603
542	3085	2597
543	3091	2591
544	3095	2584
545	3100	2577
546	3104	2571
547	3109	2564
548	3114	2558
549	3119	2552
550	3124	2545
551	3128	2539
552	3132	2532
553	3141	2528
554	3149	2525
555	3155	2520
556	3163	2516
557	3169	2510
558	3174	2504
559	3180	2498
560	3187	2494
561	3193	2488
562	3198	2482
563	3204	2477
564	3212	2473
565	3219	2468
566	3224	2462
567	3229	2456
568	3236	2451
569	3242	2446
570	3247	2440
571	3253	2434
572	3260	2430
573	3264	2422
574	3270	2417
575	3275	2411
