iter	RMSE
185	0.6807406214
186	0.6797999865
187	0.6790346337
188	0.6768853506
189	0.6762398867
190	0.675525276
191	0.6747119467
192	0.6722128354
193	0.6714127165
194	0.6704836333
195	0.6688947204
196	0.6677920269
197	0.6670529346
198	0.6663497934
199	0.6655924162
200	0.6632912217
201	0.6622924935
202	0.6616653742
203	0.6609996737
204	0.6583626484
205	0.6578575763
206	0.6562296048
207	0.6549865222
208	0.6538346712
209	0.6531829109
210	0.6516568556
211	0.650939755
212	0.6488190732
213	0.6477666386
214	0.6466252245
215	0.6444792167
216	0.6439462866
217	0.6434340854
218	0.6428156448
219	0.6408492402
220	0.6404189641
221	0.6399839346
222	0.6391188925
223	0.6372606545
224	0.6367809652
225	0.6351206286
226	0.6346014476
227	0.634117654
228	0.6336440754
229	0.6327313567
230	0.6313005085
231	0.6289829042
232	0.6281239866
233	0.6276924477
234	0.6272019739
235	0.6265437978
236	0.6260694363
237	0.6254442183
238	0.6250496981
239	0.62460415
240	0.6229593221
241	0.6214699311
242	0.6209609412
243	0.6205145555
244	0.6199872655
245	0.619497127
246	0.6190628628
247	0.618642609
248	0.6182110221
249	0.6178981573
250	0.6173484314
251	0.6154043164
252	0.6151816521
253	0.6133901679
254	0.6118899034
255	0.6101289068
256	0.6085119136
257	0.6081446467
258	0.6077602069
259	0.6073546604
260	0.6054768239
261	0.6050074048
262	0.6034690442
263	0.602958573
264	0.6012220485
265	0.5997661951
266	0.5982012127
267	0.5974246851
268	0.5970025123
269	0.5966252665
270	0.5953154312
271	0.5934216243
272	0.5930557167
273	0.5916091726
274	0.5911964493
275	0.5895769097
276	0.5879689673
277	0.5860385038
278	0.5843780646
279	0.5840462301
280	0.583706285
281	0.5821454551
282	0.5808349426
283	0.5799660129
284	0.5783649937
285	0.5778665886
286	0.5764007719
287	0.5746463377
288	0.5727160089
289	0.5718400991
290	0.5700687599
291	0.5688968484
292	0.5672401457
293	0.5656038619
294	0.5651109634
295	0.5645515118
296	0.5631509897
297	0.5618248661
298	0.5601867773
299	0.5592082432
300	0.5573568072
301	0.5556033107
302	0.5542806865
303	0.5531522248
304	0.552840034
305	0.5524998438
306	0.5517328442
307	0.5512862685
308	0.5509956667
309	0.5500052961
310	0.5484995692
311	0.5472574982
312	0.5466392438
313	0.5463531046
314	0.5457191983
315	0.5444146884
316	0.5431114339
317	0.5428297587
318	0.5425215878
319	0.5414835818
320	0.5402585236
321	0.5387955948
322	0.5384035704
323	0.5381186655
324	0.5378092725
325	0.5374720851
326	0.5360471532
327	0.5344759464
328	0.5334995035
329	0.5317101366
330	0.5309898391
331	0.5302575654
332	0.5285851381
333	0.5282633838
334	0.5267263558
335	0.5250979785
336	0.5238410727
337	0.522414977
338	0.5214844494
339	0.5200230206
340	0.5185661754
341	0.5183037523
342	0.517228283
343	0.516999069
344	0.5153656421
345	0.5138746686
346	0.5128316659
347	0.5125591822
348	0.5112023291
349	0.5109510086
350	0.5102092362
351	0.5087247518
352	0.5085006812
353	0.5075413118
354	0.5070801482
355	0.5066563265
356	0.5050222248
357	0.5045897108
358	0.5036459441
359	0.5032846999
360	0.5020007799
361	0.5005802049
362	0.4991989777
363	0.4983601061
364	0.4976394614
365	0.4965534599
366	0.4962106396
367	0.4958823258
368	0.4952527993
369	0.4947429437
370	0.493798015
371	0.4926615907
372	0.4912321921
373	0.4908051297
374	0.4905473565
375	0.4895618674
376	0.489313261
377	0.4890600618
378	0.4886273456
379	0.4879652776
380	0.4875912189
381	0.4873690856
382	0.4868220983
383	0.4861157851
384	0.4848695731
385	0.484597056
386	0.483966745
387	0.4834765217
388	0.4826037471
389	0.482011466
390	0.4815098869
391	0.4807674487
392	0.4803276981
393	0.4791973122
394	0.4782747185
395	0.4772799362
396	0.4766029596
397	0.475489936
398	0.4752355038
399	0.4744021395
400	0.4734911891
401	0.4720526718
402	0.4709834037
403	0.4704918514
404	0.4697048254
405	0.4686801072
406	0.4674451777
407	0.4664858555
408	0.4653941724
409	0.4639568321
410	0.4629381149
411	0.4627535554
412	0.4621897316
413	0.4617839718
414	0.461499744
415	0.4604466013
416	0.4601918375
417	0.4589193804
418	0.4586843419	419	0.4574069647
420	0.456676826
421	0.4552473981
422	0.4551168776
423	0.4548409885
424	0.4538987643
425	0.4533715732
426	0.4525619338
427	0.4515288168
428	0.4509523024
429	0.4504656435
430	0.4497387356
431	0.4496049042
432	0.4489293745
433	0.4487161752
434	0.4477201958
435	0.447444682
436	0.4471726403
437	0.4468183715
438	0.4460378885
439	0.445855368
440	0.4453736495
441	0.44415442	0.442	0.44320443	0.443	0.4421510116
444	0.4419579608
445	0.44102446	0.446	0.43969447	0.447	0.43879448	0.448	0.43812449	0.3889420165
450	0.450	0.4361465374
451	0.4351747601
452	0.4343699472
453	0.4339094252
454	0.4332659032
455	0.4330197331
456	0.4326012887
457	0.4322697852
458	0.4311404845
459	0.4296785827
460	0.4286752363
461	0.4284941083
462	0.4276378523
463	0.4266635103
464	0.4263572539
465	0.4250235864
466	0.4247217054
467	0.423468	0.37468	0.423469	0.37469	0.422470	0.37470	0.421471	0.37471	0.420472	0.37472	0.4205957703
473	0.4197289524
474	0.419475	0.37475	0.417476	0.3729655077
477	0.3724045538
478	0.3719385899
479	0.3710430892
480	0.3705901007
481	0.3698474952
482	0.3690617124
483	0.3689375647
484	0.3679308682
485	0.3676766554
486	0.3666864286
487	0.3663278176
488	0.3656003576
489	0.3646595138
490	0.3641927923
491	0.3635768362
492	0.3633923913
493	0.3625704214
494	0.3620970403
495	0.3616437348
496	0.3612704009
497	0.3606695801
498	0.3601622479
499	0.3594700078
500	0.3589269768
501	0.3582963926
502	0.3579422087
503	0.3577855024
504	0.3567994445
505	0.3560175875
506	0.3558057502
507	0.3552033622
508	0.3544306557
509	0.3541522728
510	0.3534540678
511	0.3525895521
512	0.3519946439
513	0.3515833888
514	0.3509839111
515	0.3503637492
516	0.3499913198
517	0.3497473028
518	0.3491011565
519	0.3486609185
520	0.3482286507
521	0.3478445351
522	0.3476000138
523	0.3474859623
524	0.3473075614
525	0.3467413932
526	0.3463493438
527	0.3454642094
528	0.344566784
529	0.3438390442
530	0.3436888228
531	0.3429944486
532	0.3429260003
533	0.3426133423
534	0.3420378179
535	0.3412220568
536	0.3405929699
537	0.3404629153
538	0.3396964878
539	0.3389082092
540	0.3384530632
541	0.3376136811
542	0.3369655704
543	0.3365890966
544	0.3361045858
545	0.3356715147
546	0.3355187792
547	0.335082767
548	0.3342447842
549	0.3338030644
550	0.3331197108
551	0.3324735257
552	0.3319900431
55553	0.36966895755554	0.368753552555	0.3311490027
556	0.3310150709
557	0.3308848272
558	0.3304520144
559	0.3300636179
560	0.3298108329
561	0.3293353815
562	0.3289606282
563	0.328647715
564	0.3280357023
565	0.3272705748
566	0.3268954633
567	0.3263486085
568	0.3262256832
569	0.3260941439
570	0.3258616559
571	0.3250060099
572	0.3245536761
573	0.3237139373
574	0.3232108702
575	0.3224302176
576	0.3221292586
577	0.3214982148
578	0.3211127829
579	0.3204459541
580	0.3199979309
581	0.3196526057
582	0.3194602411
583	0.319052885
584	0.3187660442
585	0.3184130936
586	0.3178827633
587	0.3171717391
588	0.3170969317
589	0.3167653393
590	0.3161175203
591	0.3155833558
592	0.3150441425
593	0.3145587915
594	0.314137958
595	0.3139032426
596	0.3132841553
597	0.3128144043
598	0.3122582326
599	0.3116491591
600	0.311016207
601	0.3106191767
602	0.3103420404
603	0.3101046772
604	0.3094252209
605	0.3088471514
606	0.3085155823
607	0.3083939201
608	0.3080781127
609	0.3079493115
610	0.3073806188
611	0.3069594321
612	0.3063766831
613	0.30568909
614	0.3055176979
615	0.3050629212
616	0.3045702109
617	0.3039987247
618	0.303428125
619	0.3030793813
620	0.3029700565
621	0.3023800927
622	0.3020705927
623	0.3014506569
624	0.3013489474
625	0.3008952076
626	0.3007889569
627	0.3002483234
628	0.2998958428
629	0.2996732427
630	0.2990591425
631	0.2985337346
632	0.2984511603
633	0.298328535
634	0.2979733092
635	0.2976080529
636	0.2970095091
637	0.2969068504
638	0.2965759338
639	0.2964704078
640	0.2957344452
641	0.294964458
642	0.2945496936
643	0.2943238468
644	0.2940757591
645	0.2934312425
646	0.2930498963
647	0.29298579
648	0.2923698624
649	0.2917538217
650	0.2913403761
651	0.2909347766
652	0.2903372389
653	0.2895648505
654	0.2894417759
655	0.2887934188
656	0.2884530114
657	0.288159987
658	0.2878093921
659	0.2875559662
660	0.2873092414
661	0.2872157783
662	0.2870979149
663	0.286479141
664	0.2861468298
665	0.285586295
666	0.2854761415
667	0.2853725357
668	0.2848733437
669	0.2846788312
670	0.2840479832
671	0.2838951721
672	0.2835355288
673	0.283439175
674	0.2831503498
675	0.2828036256
676	0.2827293603
677	0.2825807368
678	0.282317608
679	0.2820790272
680	0.2816657327
681	0.2813579622
682	0.2808743506
683	0.2805185647
684	0.2799169068
685	0.2795949929
686	0.2791605206
687	0.2790164824
688	0.2787984847
689	0.2782463109
690	0.2780936794
691	0.2779005041
692	0.2773855012
693	0.2765803179
694	0.2764733142
695	0.2763365634
696	0.2755424906
697	0.2751022536
698	0.2747630339
699	0.2744060341
700	0.2739100611
701	0.2734420924
702	0.2733669706
703	0.2732823688
704	0.2732150397
705	0.2726042315
706	0.2725181934
707	0.272424549
708	0.2722733971
709	0.2717535124
710	0.2712810401
711	0.2707605873
712	0.2701873444
713	0.2701143332
714	0.270042608
715	0.2695940812
716	0.269504788
717	0.2690111162
718	0.2685430417
719	0.2680732565
720	0.2679734518
721	0.267333579
722	0.2669453962
723	0.2660881639
724	0.2658487731
725	0.2653897449
726	0.2653108689
727	0.2648411788
728	0.2647086696
729	0.2646256156
730	0.2638832258
731	0.2633900934
732	0.2630719742
733	0.2629495401
734	0.2626878671
735	0.2624206447
736	0.2619490527
737	0.2613145182
738	0.2609625167
739	0.2605238477
740	0.2601016307
741	0.2598267143
742	0.2597012144
743	0.2596025789
744	0.2588926553
745	0.2588245084
746	0.2583253309
747	0.2580594562
748	0.2576037992
749	0.2573451964
750	0.2569266283
751	0.2564899289
752	0.2561849415
753	0.2558044641
754	0.2555918834
755	0.2551881829
756	0.2551146748
757	0.2549837764
758	0.2545053432
759	0.2539599884
760	0.2538645725
761	0.2538066031
762	0.253119672
763	0.2526591496
764	0.252432926
765	0.2521095607
766	0.2514157776
767	0.2511085292
768	0.2506427642
769	0.2505839398
770	0.2502406864
771	0.2496706261
772	0.249414451
773	0.2493484268
774	0.2489340421
775	0.2487386989
776	0.248426062
777	0.2477904198
778	0.2476964125
779	0.2474662859
780	0.2470462322
781	0.246846167
782	0.2464554362
783	0.2462565003
784	0.2456832578
785	0.245128729
786	0.2449669409
787	0.2446012401
788	0.244509553
789	0.2441677944
790	0.2439474156
791	0.2435715648
792	0.2429301084
793	0.2428820194
794	0.2421866127
795	0.2421181114
796	0.2418617626
797	0.241552014
798	0.2410399907
799	0.2408349084
800	0.2403000523
801	0.2399435276
802	0.2397093585
803	0.2394766886
804	0.2391673215
805	0.2388836552
806	0.2385714779
807	0.2379218063
808	0.2378363558
809	0.2377418619
810	0.2371011253
811	0.2370268044
812	0.2368621
813	0.2366834652
814	0.2361505083
815	0.2357221715
816	0.2354649354
817	0.2350578747
818	0.2349645054
819	0.23472231
820	0.2344664104
821	0.2342115307
822	0.2337064106
823	0.2334380917
824	0.2329384851
825	0.2325999117
826	0.2324230174
827	0.232117183
828	0.23207546
829	0.2318281695
830	0.2315641139
831	0.2311230417
832	0.2309070871
833	0.2304428531
834	0.2301015689
835	0.2300194223
836	0.2297202705
837	0.2293956599
838	0.2289105251
839	0.2285135626
840	0.228021019
841	0.2275143386
842	0.2272151673
843	0.22706706
844	0.2265195886
845	0.2262614432
846	0.2259768911
847	0.2258347667
848	0.2257545024
849	0.225431295
850	0.2248561571
851	0.2244440692
852	0.2243044492
853	0.2242425435
854	0.223649013
855	0.2233578434
856	0.2232968049
857	0.223157814
858	0.2229858878
859	0.2229100602
860	0.2227892273
861	0.2223979109
862	0.2221584953
863	0.2215609752
864	0.2214642426
865	0.2212314564
866	0.2211908877
867	0.2210125434
868	0.2207911634
869	0.220509145
870	0.2198546419
871	0.2197573157
872	0.2197028761
873	0.2192195939
874	0.2191784755
875	0.2190000652
876	0.2186595744
877	0.2184923924
878	0.2184256044
879	0.2180496363
880	0.2179822293
881	0.2179356018
882	0.2178402723
883	0.2177759363
884	0.2177275154
885	0.2172822539
886	0.2172099035
887	0.2170133967
888	0.2166599441
889	0.2162894064
890	0.2161026914
891	0.2157286396
892	0.2154957958
893	0.2154406155
894	0.2150767974
895	0.2147096363
896	0.2145096536
897	0.2139571704
898	0.2137916697
899	0.2134897241
900	0.2132649047
901	0.2129609688
902	0.2126560181
903	0.212588381
904	0.2124227959
905	0.2122250272
906	0.2116855779
907	0.2115845801
908	0.2109984849
909	0.2107824536
910	0.2107429117
911	0.2105488122
912	0.2104754706
913	0.2103026182
914	0.2101762211
915	0.2101285588
916	0.2096986013
917	0.2094392233
918	0.2093848061
919	0.2093181395
920	0.2092654975
921	0.2090416903
922	0.2088374072
923	0.2085151741
924	0.2083791952
925	0.2079020454
926	0.2077852226
927	0.2077495227
928	0.2074659998
929	0.2073016603
930	0.2070483836
931	0.2067504795
932	0.2062829854
933	0.2058517147
934	0.2057947336
935	0.2055581619
936	0.205189788
937	0.2049649535
938	0.204418709
939	0.2040049704
940	0.2036452079
941	0.2034570611
942	0.2031708436
943	0.2026067191
944	0.2022693471
945	0.2019654465
946	0.2016720141
947	0.20151993
948	0.2011292227
949	0.2008503615
950	0.2005377929
951	0.2001165765
952	0.2000268963
953	0.19997716
954	0.1997327605
955	0.1993839289
956	0.1991726123
957	0.1989944028
958	0.1987381653
959	0.1985844768
960	0.1981245652
961	0.1981010824
962	0.1978477153
963	0.1977922117
964	0.1975152707
965	0.1974782282
966	0.1972129764
967	0.1971531486
968	0.1971245761
969	0.196933773
970	0.1968830616
971	0.1964549685
972	0.1963023683
973	0.1961024978
974	0.1957188921
975	0.195313374
976	0.1952596433
977	0.1947321367
978	0.194540433
979	0.1943647032
980	0.1941314023
981	0.1938612239
982	0.1938229348
983	0.1937760329
984	0.1932920432
985	0.1932311086
986	0.1928264311
987	0.1927894402
988	0.1924670101
989	0.1922550965
990	0.19220827
991	0.1919477254
992	0.1917049602
993	0.1916699002
994	0.1915356986
995	0.1913775504
996	0.1913270715
997	0.1911785327
998	0.1907951393
999	0.190567703
2122036348
